text,label
"Your bank account is blocked, please share your OTP to unblock it",vishing
"This is the delivery service, your package will arrive tomorrow",safe
"Congratulations you won a lottery, provide card details to claim",vishing
"Reminder: electricity bill payment is due on the 15th of this month",safe
"Dear customer, share your CVV and OTP to continue using your debit card",vishing
"This is your doctor’s clinic, confirming your appointment for Monday",safe
"Your SIM card will be deactivated, provide Aadhaar OTP immediately",vishing
"Meeting scheduled tomorrow at 11 AM in conference room",safe
"This is your bank, kindly provide internet banking password to verify",vishing
"Dear student, your exam results will be published next week",safe
"Pay security deposit now or your account will be suspended",vishing
"Friendly reminder to submit your rent payment this week",safe
"Urgent: send OTP immediately to keep your account active",vishing
"Bus tickets for your booking have been confirmed successfully",safe
"Update PAN card details with OTP to avoid penalty",vishing
"Flight from Hyderabad to Delhi has been rescheduled",safe
